subject;predicate;behaviors
4;soft;grasp,hold,press
4;round;grasp,hold,look,push
4;heavy;lift,lower,push
4;squishy;grasp,press
4;orange-topped;look
4;blue;look
4;container;grasp,hold,lift,look,lower
4;purple;look
4;tube;grasp,look,press
4;red;look
4;can;grasp,hold,look,press
4;full;lift,look,lower,press,push
4;water;grasp,look
4;cylindrical;grasp,hold,lift,look,lower
4;tub;grasp,lift,look,lower,push
4;colored;look
4;thing;drop,grasp,hold,lift,look,lower,press,push
4;beans;drop,grasp,look,press
4;narrow;grasp,look
4;shiny;look
4;hollow;drop,lift,look,lower
4;open;drop,look,press
4;spraycan;grasp,hold,look,press
4;silent;drop,hold
4;top;grasp,look
4;spiky;grasp,hold,look,press
4;tiny;grasp,lift,look,lower
4;plastic;drop,grasp,look,push
4;white;look
4;empty;drop,lift,look,lower
4;wide;grasp,hold,look,press
4;inside;drop,look,press
4;cap;grasp,hold,lift,look,lower,press
4;rectangular;grasp,hold,lift,look,lower
4;thin;grasp,look,press
4;cylinder;grasp,hold,lift,look,lower
4;lid;drop,look,press
4;metallic;drop,lift,lower
4;prism;grasp,hold,look
4;green;look
4;roll;drop,look,press,push
4;circular;drop,grasp,hold,lift,look,lower
4;circles;drop,grasp,hold,lift,look,lower
4;pink;look
4;canister;drop,grasp,lift,look,lower
4;styrofoam;grasp,hold,press,push
4;medium-sized;lift,look,lower,press
4;tall;look,press
4;short;look,press
4;liquid;drop,grasp,look
4;light;drop,hold,lift,look,lower
4;clear;look
4;metal;drop,lift,lower,press
4;object;drop,grasp,hold,lift,look,lower,press,push
4;aerosol;drop,look,press
4;bottle;drop,grasp,hold,look,push
4;pineapple;grasp,hold,lift,look,lower,press
5;text;look
5;neon;look
5;yellow;look
5;bright;look
5;paper;grasp,hold,lift,look,lower
5;crayon;grasp,look
5;rough;grasp,look,press
5;pencil-shaped;grasp,look,press
5;cup;hold,lift,look,push
5;transparent;look,push
5;half-full;hold,lift,look,push
5;black;look
5;orange;look
5;rectangle;grasp,hold,look,press
5;brown;look
5;coffee;hold,look,press
5;fat;look,press
5;chips;drop,hold,look
5;silver;look
5;rattles;drop,hold,lift,look,lower,push
5;gray;look
5;aluminum;hold,look,press
5;large;hold,look,push
5;small;grasp,hold,look,push
5;soft;drop,grasp,hold,look,press
5;round;grasp,hold,look,press,push
5;heavy;drop,hold,lift,look,lower
5;squishy;grasp,hold,look,press
5;orange-topped;look
5;blue;look
5;container;grasp,hold,lift,look,lower
5;purple;look
5;tube;grasp,hold,look
5;red;look
5;can;grasp,hold,look,push
5;full;hold,look,push
5;water;drop,grasp,hold,look,press,push
5;cylindrical;grasp,look
5;tub;hold,look,push
5;colored;look
5;thing;drop,grasp,hold,lift,look,lower,press,push
5;beans;look,press,push
5;narrow;grasp,hold,look,press
5;shiny;look
5;hollow;drop,hold,look
5;open;drop,look,press
5;spraycan;grasp,lift,look,press
5;silent;drop,grasp,press,push
5;top;look,press
5;spiky;grasp,look,press
5;tiny;grasp,hold,look,press,push
5;plastic;grasp,look,press
5;white;look
5;empty;hold,lift,look,push
5;wide;grasp,hold,look
5;inside;lift,look,lower,press,push
5;cap;grasp,look,press
5;rectangular;grasp,hold,look,press
5;thin;grasp,look,press
5;cylinder;grasp,hold,look
5;lid;grasp,look
5;metallic;grasp,look,press
5;prism;grasp,hold,look,press
5;green;look
5;roll;drop,grasp,look,push
5;circular;grasp,look
5;circles;grasp,look,press
5;pink;look
5;canister;grasp,look
5;styrofoam;drop,grasp,hold,look,press,push
5;medium-sized;hold,look,push
5;tall;lift,look,lower,push
5;short;hold,look,lower,press
5;liquid;drop,grasp,hold,look,press,push
5;light;drop,hold,look,push
5;clear;look,push
5;metal;drop,grasp,hold,look,press
5;object;grasp,hold,look
5;aerosol;grasp,look,press
5;bottle;grasp,hold,look,press,push
5;pineapple;grasp,hold,look,press
6;text;look
6;neon;look
6;yellow;look
6;bright;look
6;paper;grasp,look
6;crayon;hold,look
6;rough;hold,look
6;pencil-shaped;look
6;cup;hold,look
6;transparent;hold,lift
6;half-full;lift,look
6;black;look
6;orange;look
6;rectangle;grasp,look
6;brown;look
6;coffee;lift,look
6;fat;grasp,look
6;chips;grasp,hold,look
6;silver;look
6;rattles;drop,lift,lower
6;gray;look
6;aluminum;lift,look
6;large;grasp,look
6;small;grasp,look
6;soft;grasp,press
6;round;push
6;heavy;lift
6;squishy;press
6;orange-topped;look
6;blue;look
6;container;lift,look
6;purple;look
6;tube;look,push
6;red;look
6;can;grasp,look
6;full;lift
6;water;lift,look
6;cylindrical;look,push
6;tub;lift,look
6;colored;look
6;thing;look,push
6;beans;grasp,look
6;narrow;grasp,look
6;shiny;look
6;hollow;drop,hold,lift
6;open;look,press
6;spraycan;lift,look
6;silent;drop
6;top;look
6;spiky;grasp,look
6;tiny;grasp,look
6;plastic;hold,lift,look
6;white;look
6;empty;hold,lift
6;wide;grasp,look
6;inside;look
6;cap;lift,look
6;rectangular;grasp,look
6;thin;grasp,look
6;cylinder;grasp,look
6;lid;look,push
6;metallic;look,press
6;prism;grasp,look
6;green;look
6;roll;push
6;circular;grasp,look,push
6;circles;grasp,look
6;pink;look
6;canister;grasp,look
6;styrofoam;lift,look,press
6;medium-sized;grasp,look
6;tall;grasp,look
6;short;grasp,look
6;liquid;lift,look,lower
6;light;hold,lift
6;clear;look
6;metal;hold,lift,look,press
6;object;grasp,look,press,push
6;aerosol;grasp,look
6;bottle;grasp,hold,look
6;pineapple;grasp,hold,look
7;text;look
7;neon;look
7;yellow;look
7;bright;look
7;paper;grasp,push
7;crayon;drop,look
7;rough;grasp,push
7;pencil-shaped;grasp,look
7;cup;push
7;transparent;look
7;half-full;grasp,look,push
7;black;look
7;orange;look
7;rectangle;look
7;brown;look
